param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
entropy,10,1,2,0.904812834224599,0.010246066212620265,1
entropy,20,1,2,0.9048128342245988,0.009605842128561476,2
entropy,,1,2,0.9048128342245988,0.009605842128561476,2
entropy,20,7,8,0.9030303030303031,0.015317326958246565,4
entropy,20,7,4,0.9030303030303031,0.015317326958246565,4
entropy,20,7,6,0.9030303030303031,0.015317326958246565,4
entropy,20,7,2,0.9030303030303031,0.015317326958246565,4
entropy,,7,8,0.9030303030303031,0.015317326958246565,4
entropy,,7,2,0.9030303030303031,0.015317326958246565,4
entropy,,7,4,0.9030303030303031,0.015317326958246565,4
entropy,,7,6,0.9030303030303031,0.015317326958246565,4
entropy,10,7,6,0.9026737967914439,0.015441289003713173,12
entropy,10,7,2,0.9026737967914439,0.015441289003713173,12
entropy,10,7,8,0.9026737967914439,0.015441289003713173,12
entropy,10,7,4,0.9026737967914439,0.015441289003713173,12
entropy,10,5,8,0.9026737967914438,0.014152893576669656,16
entropy,10,5,2,0.9026737967914438,0.014152893576669656,16
entropy,10,5,6,0.9026737967914438,0.014152893576669656,16
entropy,10,5,4,0.9026737967914438,0.014152893576669656,16
entropy,,5,8,0.9016042780748663,0.01662252153565031,20
entropy,20,5,4,0.9016042780748663,0.01662252153565031,20
entropy,20,5,6,0.9016042780748663,0.01662252153565031,20
entropy,20,5,2,0.9016042780748663,0.01662252153565031,20
entropy,20,5,8,0.9016042780748663,0.01662252153565031,20
entropy,,5,2,0.9016042780748663,0.01662252153565031,20
entropy,,5,4,0.9016042780748663,0.01662252153565031,20
entropy,,5,6,0.9016042780748663,0.01662252153565031,20
entropy,10,1,6,0.901247771836007,0.009539456798759085,28
entropy,10,3,6,0.9008912655971478,0.013556615573498427,29
entropy,10,3,2,0.9008912655971478,0.013556615573498427,29
entropy,10,3,4,0.9008912655971478,0.013556615573498427,29
entropy,10,1,4,0.9008912655971478,0.010058278773380306,29
gini,20,1,6,0.9008912655971478,0.014419784966956613,29
gini,,1,6,0.9008912655971478,0.014419784966956613,29
entropy,10,3,8,0.9005347593582889,0.011068930264713043,35
entropy,20,1,8,0.9005347593582886,0.009982174688057054,36
entropy,,1,8,0.9005347593582886,0.009982174688057054,36
entropy,,1,4,0.8998217468805704,0.009592601816095328,38
entropy,20,1,6,0.8998217468805704,0.013021021296078187,38
entropy,,1,6,0.8998217468805704,0.013021021296078187,38
entropy,20,1,4,0.8998217468805704,0.009592601816095328,38
gini,20,1,4,0.8994652406417112,0.016553564016034073,42
gini,,1,4,0.8994652406417112,0.016553564016034073,42
entropy,10,1,8,0.8994652406417112,0.009131014955340962,42
gini,20,7,6,0.8991087344028521,0.01568627450980392,45
gini,20,7,8,0.8991087344028521,0.01568627450980392,45
gini,20,7,2,0.8991087344028521,0.01568627450980392,45
gini,20,7,4,0.8991087344028521,0.01568627450980392,45
gini,,7,8,0.8991087344028521,0.01568627450980392,45
gini,,7,6,0.8991087344028521,0.01568627450980392,45
gini,,7,4,0.8991087344028521,0.01568627450980392,45
gini,,7,2,0.8991087344028521,0.01568627450980392,45
entropy,,3,2,0.8987522281639929,0.014586290585011603,53
entropy,,3,6,0.8987522281639929,0.014586290585011603,53
entropy,20,3,4,0.8987522281639929,0.014586290585011603,53
entropy,20,3,6,0.8987522281639929,0.014586290585011603,53
entropy,20,3,2,0.8987522281639929,0.014586290585011603,53
entropy,,3,4,0.8987522281639929,0.014586290585011603,53
entropy,,3,8,0.8987522281639928,0.010233654256261883,59
entropy,20,3,8,0.8987522281639928,0.010233654256261883,59
entropy,10,9,6,0.8983957219251337,0.018490270916064096,61
entropy,10,9,8,0.8983957219251337,0.018490270916064096,61
entropy,10,9,2,0.8983957219251337,0.018490270916064096,61
entropy,10,9,4,0.8983957219251337,0.018490270916064096,61
entropy,20,9,8,0.8983957219251335,0.018073143466148425,65
entropy,20,9,6,0.8983957219251335,0.018073143466148425,65
entropy,20,9,4,0.8983957219251335,0.018073143466148425,65
entropy,20,9,2,0.8983957219251335,0.018073143466148425,65
entropy,,9,8,0.8983957219251335,0.018073143466148425,65
entropy,,9,6,0.8983957219251335,0.018073143466148425,65
entropy,,9,4,0.8983957219251335,0.018073143466148425,65
entropy,,9,2,0.8983957219251335,0.018073143466148425,65
gini,20,9,2,0.8966131907308379,0.01586352617560566,73
gini,20,9,4,0.8966131907308379,0.01586352617560566,73
gini,20,9,6,0.8966131907308379,0.01586352617560566,73
gini,20,9,8,0.8966131907308379,0.01586352617560566,73
gini,,9,8,0.8966131907308379,0.01586352617560566,73
gini,,9,6,0.8966131907308379,0.01586352617560566,73
gini,,9,2,0.8966131907308379,0.01586352617560566,73
gini,,9,4,0.8966131907308379,0.01586352617560566,73
gini,20,1,8,0.8962566844919785,0.013214797142852513,81
gini,,1,8,0.8962566844919785,0.013214797142852513,81
gini,20,5,2,0.8955436720142602,0.013127951971138684,83
gini,20,5,8,0.8955436720142602,0.013127951971138684,83
gini,,5,2,0.8955436720142602,0.013127951971138684,83
gini,20,5,4,0.8955436720142602,0.013127951971138684,83
gini,20,5,6,0.8955436720142602,0.013127951971138684,83
gini,,5,6,0.8955436720142602,0.013127951971138684,83
gini,,5,4,0.8955436720142602,0.013127951971138684,83
gini,,5,8,0.8955436720142602,0.013127951971138684,83
gini,20,3,2,0.895187165775401,0.012318825342724413,91
gini,,3,6,0.895187165775401,0.012318825342724413,91
gini,,1,2,0.895187165775401,0.008082555471482802,91
gini,20,3,4,0.895187165775401,0.012318825342724413,91
