param_n_neighbors,param_weights,param_metric,mean_test_score,std_test_score,rank_test_score
3,distance,euclidean,0.9329768270944742,0.010965102673247577,1
5,distance,euclidean,0.9329768270944742,0.0072713290746421015,1
9,distance,euclidean,0.9315508021390373,0.008919783246486127,3
7,distance,euclidean,0.9308377896613191,0.006801705535949721,4
1,distance,euclidean,0.9272727272727274,0.005335696808233788,5
1,uniform,euclidean,0.9272727272727274,0.005335696808233788,5
9,uniform,euclidean,0.9251336898395722,0.007478137954867396,7
3,uniform,euclidean,0.9251336898395722,0.013481404920633903,7
5,uniform,euclidean,0.924777183600713,0.009047114110837461,9
7,uniform,euclidean,0.9240641711229947,0.009131014955340957,10
9,distance,manhattan,0.9169340463458111,0.00933746941440915,11
7,distance,manhattan,0.9133689839572192,0.007612890019273661,12
5,distance,manhattan,0.9122994652406418,0.01189897987043041,13
3,distance,manhattan,0.9094474153297682,0.012215216897691148,14
9,uniform,manhattan,0.9083778966131908,0.008176360029361649,15
1,distance,manhattan,0.9055258467023174,0.008129593048835195,16
1,uniform,manhattan,0.9055258467023174,0.008129593048835195,16
7,uniform,manhattan,0.9048128342245988,0.009061151534501835,18
5,uniform,manhattan,0.9044563279857398,0.010965102673247558,19
3,uniform,manhattan,0.8976827094474154,0.011137610946034446,20
