params,mean_test_score,std_test_score,rank_test_score
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.9044563279857398,0.008019409539537972,1
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9037433155080213,0.009698018188046673,2
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.9033868092691621,0.00918652315631025,3
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9026737967914439,0.007859325377913945,4
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9026737967914439,0.007859325377913945,4
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9026737967914439,0.007859325377913945,4
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.9019607843137255,0.010270845127192835,7
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.9019607843137255,0.010270845127192835,7
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.9019607843137255,0.010270845127192835,7
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.9012477718360072,0.00840629313550919,10
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.9012477718360072,0.00840629313550919,10
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 4}",0.9012477718360072,0.00840629313550919,10
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.9005347593582889,0.009854028492752392,13
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 6}",0.9005347593582889,0.009854028492752392,13
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 4}",0.9005347593582889,0.009854028492752392,13
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 18}",0.9001782531194296,0.009892646649206128,16
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.9001782531194296,0.007728871083307932,16
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 16}",0.8998217468805704,0.008160800814445332,18
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.8994652406417112,0.009737255104276404,19
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.8994652406417112,0.009737255104276404,19
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.8994652406417112,0.009737255104276404,19
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.8994652406417112,0.007612890019273677,19
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8987522281639929,0.009789326358464141,23
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8987522281639929,0.009789326358464141,23
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 14}",0.8987522281639929,0.010479100503885246,23
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8987522281639929,0.009789326358464141,23
