param_activation,param_hidden_layer_sizes,param_learning_rate,param_solver,mean_test_score,std_test_score,rank_test_score
logistic,"(48, 16)",adaptive,adam,0.9657754010695185,0.005215236662505436,1
logistic,"(48, 16)",constant,adam,0.9657754010695185,0.005215236662505436,1
logistic,"(48, 16)",invscaling,adam,0.9657754010695185,0.005215236662505436,1
tanh,"(64, 32)",constant,adam,0.9629233511586452,0.00861536254801753,4
tanh,"(75, 50)",constant,adam,0.9629233511586452,0.013687239800679107,4
tanh,"(64, 32)",invscaling,adam,0.9629233511586452,0.00861536254801753,4
tanh,"(64, 32)",adaptive,adam,0.9629233511586452,0.00861536254801753,4
tanh,"(75, 50)",invscaling,adam,0.9629233511586452,0.013687239800679107,4
tanh,"(75, 50)",adaptive,adam,0.9629233511586452,0.013687239800679107,4
relu,"(75, 50)",invscaling,adam,0.962210338680927,0.01053956898331156,10
relu,"(75, 50)",adaptive,adam,0.962210338680927,0.01053956898331156,10
relu,"(75, 50)",constant,adam,0.962210338680927,0.01053956898331156,10
tanh,"(32, 32)",constant,sgd,0.9622103386809269,0.010778050950325134,13
tanh,"(32, 32)",adaptive,sgd,0.9622103386809269,0.010778050950325134,13
tanh,"(64, 32)",adaptive,sgd,0.9618538324420678,0.01196289606813728,15
tanh,"(48, 16)",adaptive,adam,0.9618538324420678,0.0076959119946249325,15
tanh,"(48, 16)",invscaling,adam,0.9618538324420678,0.0076959119946249325,15
tanh,"(48, 16)",constant,adam,0.9618538324420678,0.0076959119946249325,15
tanh,"(48, 16)",constant,sgd,0.9618538324420678,0.013603411071899385,15
relu,"(32, 32)",adaptive,sgd,0.9618538324420678,0.007183401668310119,15
tanh,"(48, 16)",adaptive,sgd,0.9618538324420678,0.013603411071899385,15
relu,"(32, 32)",constant,sgd,0.9618538324420678,0.007183401668310119,15
logistic,"(75, 50)",constant,adam,0.9618538324420676,0.006534867301184796,23
logistic,"(75, 50)",invscaling,adam,0.9618538324420676,0.006534867301184796,23
logistic,"(75, 50)",adaptive,adam,0.9618538324420676,0.006534867301184796,23
tanh,"(64, 32)",constant,sgd,0.9614973262032086,0.01196289606813728,26
relu,"(48, 16)",invscaling,adam,0.960071301247772,0.008481552408820175,27
relu,"(48, 16)",adaptive,adam,0.960071301247772,0.008481552408820175,27
relu,"(48, 16)",constant,adam,0.960071301247772,0.008481552408820175,27
tanh,"(32, 32)",adaptive,adam,0.9600713012477717,0.013176269955491158,30
tanh,"(32, 32)",invscaling,adam,0.9600713012477717,0.013176269955491158,30
tanh,"(32, 32)",constant,adam,0.9600713012477717,0.013176269955491158,30
logistic,"(64, 32)",invscaling,adam,0.9597147950089127,0.011748489877564406,33
relu,"(48, 16)",adaptive,sgd,0.9597147950089127,0.01073077856919246,33
logistic,"(64, 32)",adaptive,adam,0.9597147950089127,0.011748489877564406,33
logistic,"(64, 32)",constant,adam,0.9597147950089127,0.011748489877564406,33
relu,"(75, 50)",constant,sgd,0.9593582887700535,0.009186523156310258,37
relu,"(48, 16)",constant,sgd,0.9593582887700535,0.010718927899018125,37
relu,"(75, 50)",adaptive,sgd,0.9590017825311943,0.009296545319362075,39
logistic,"(32, 32)",adaptive,adam,0.9586452762923351,0.008541282389098714,40
relu,"(64, 32)",adaptive,adam,0.9586452762923351,0.010233654256261925,40
relu,"(64, 32)",constant,adam,0.9586452762923351,0.010233654256261925,40
logistic,"(32, 32)",invscaling,adam,0.9586452762923351,0.008541282389098714,40
relu,"(64, 32)",invscaling,adam,0.9586452762923351,0.010233654256261925,40
logistic,"(32, 32)",constant,adam,0.9586452762923351,0.008541282389098714,40
